Abyssinica SIL,Abyssinica SIL,AbyssinicaSIL-R.ttf
C059,C059,C059-Roman.t1
C059,C059-BdIta,C059-BdIta.otf
C059,C059,C059-Italic.t1
C059,C059,C059-BdIta.t1
C059,C059-Roman,C059-Roman.otf
C059,C059,C059-Bold.t1
C059,C059-Bold,C059-Bold.otf
C059,C059-Italic,C059-Italic.otf
Caladea,Caladea,Caladea-Regular.ttf
Caladea,Caladea Italic,Caladea-Italic.ttf
Caladea,Caladea Bold Italic,Caladea-BoldItalic.ttf
Caladea,Caladea Bold,Caladea-Bold.ttf
Cantarell,Cantarell Bold Oblique,Cantarell-BoldOblique.otf
Cantarell,Cantarell Oblique,Cantarell-Oblique.otf
Cantarell,Cantarell Regular,Cantarell-Regular.otf
Cantarell,Cantarell Bold,Cantarell-Bold.otf
Carlito,Carlito,Carlito-Regular.ttf
Carlito,Carlito Italic,Carlito-Italic.ttf
Carlito,Carlito Bold Italic,Carlito-BoldItalic.ttf
Carlito,Carlito Bold,Carlito-Bold.ttf
Comfortaa,Comfortaa Regular,Comfortaa-Regular.ttf
Comfortaa,Comfortaa Light,Comfortaa-Light.ttf
Comfortaa,Comfortaa Bold,Comfortaa-Bold.ttf
D050000L,D050000L,D050000L.otf
D050000L,D050000L,D050000L.t1
DejaVu Sans,DejaVu Sans ExtraLight,DejaVuSans-ExtraLight.ttf
DejaVu Sans,DejaVu Sans Condensed Oblique,DejaVuSansCondensed-Oblique.ttf
DejaVu Sans,DejaVu Sans Oblique,DejaVuSans-Oblique.ttf
DejaVu Sans,DejaVu Sans Condensed Bold,DejaVuSansCondensed-Bold.ttf
DejaVu Sans,DejaVu Sans Bold,DejaVuSans-Bold.ttf
DejaVu Sans,DejaVu Sans Condensed Bold Oblique,DejaVuSansCondensed-BoldOblique.ttf
DejaVu Sans,DejaVu Sans,DejaVuSans.ttf
DejaVu Sans,DejaVu Sans Bold Oblique,DejaVuSans-BoldOblique.ttf
DejaVu Sans,DejaVu Sans Condensed,DejaVuSansCondensed.ttf
DejaVu Sans Mono,DejaVu Sans Mono Oblique,DejaVuSansMono-Oblique.ttf
DejaVu Sans Mono,DejaVu Sans Mono,DejaVuSansMono.ttf
DejaVu Sans Mono,DejaVu Sans Mono Bold Oblique,DejaVuSansMono-BoldOblique.ttf
DejaVu Sans Mono,DejaVu Sans Mono Bold,DejaVuSansMono-Bold.ttf
DejaVu Serif,DejaVu Serif Condensed,DejaVuSerifCondensed.ttf
DejaVu Serif,DejaVu Serif Condensed Italic,DejaVuSerifCondensed-Italic.ttf
DejaVu Serif,DejaVu Serif Italic,DejaVuSerif-Italic.ttf
DejaVu Serif,DejaVu Serif Condensed Bold Italic,DejaVuSerifCondensed-BoldItalic.ttf
DejaVu Serif,DejaVu Serif,DejaVuSerif.ttf
DejaVu Serif,DejaVu Serif Condensed Bold,DejaVuSerifCondensed-Bold.ttf
DejaVu Serif,DejaVu Serif Bold,DejaVuSerif-Bold.ttf
DejaVu Serif,DejaVu Serif Bold Italic,DejaVuSerif-BoldItalic.ttf
Droid Sans,Droid Sans Bold,DroidSansTamil-Bold.ttf
Droid Sans,Droid Sans,DroidSansHebrew-Regular.ttf
Droid Sans,Droid Sans,DroidSansThai.ttf
Droid Sans,Droid Sans,DroidSansArabic.ttf
Droid Sans,Droid Sans,DroidSansArmenian.ttf
Droid Sans,Droid Sans,DroidSansTamil-Regular.ttf
Droid Sans,Droid Sans Bold,DroidSansHebrew-Bold.ttf
Droid Sans,Droid Sans,DroidSansFallback.ttf
Droid Sans,Droid Sans Bold,DroidSansEthiopic-Bold.ttf
Droid Sans,Droid Sans,DroidSans.ttf
Droid Sans,Droid Sans,DroidSansDevanagari-Regular.ttf
Droid Sans,Droid Sans,DroidSansJapanese.ttf
Droid Sans,Droid Sans,DroidSansGeorgian.ttf
Droid Sans,Droid Sans,DroidSansEthiopic-Regular.ttf
Droid Sans,Droid Sans Bold,DroidSans-Bold.ttf
Eeyek Unicode,Eeyek Unicode,eeyek.ttf
FreeMono,FreeMono Oblique,FreeMonoOblique.ttf
FreeMono,FreeMono Bold Oblique,FreeMonoBoldOblique.ttf
FreeMono,FreeMono Bold,FreeMonoBold.ttf
FreeMono,FreeMono,FreeMono.ttf
FreeSans,FreeSans Bold,FreeSansBold.ttf
FreeSans,FreeSans Bold Oblique,FreeSansBoldOblique.ttf
FreeSans,FreeSans Oblique,FreeSansOblique.ttf
FreeSans,FreeSans,FreeSans.ttf
FreeSerif,FreeSerif Bold Italic,FreeSerifBoldItalic.ttf
FreeSerif,FreeSerif Bold,FreeSerifBold.ttf
FreeSerif,FreeSerif Italic,FreeSerifItalic.ttf
FreeSerif,FreeSerif,FreeSerif.ttf
Jomolhari,Jomolhari,Jomolhari-alpha3c-0605331.ttf
Khmer OS,Khmer OS,KhmerOS.ttf
Khmer OS Content,Khmer OS Content,KhmerOS_content.ttf
Khmer OS System,Khmer OS System,KhmerOS_sys.ttf
Liberation Mono,Liberation Mono Italic,LiberationMono-Italic.ttf
Liberation Mono,Liberation Mono,LiberationMono-Regular.ttf
Liberation Mono,Liberation Mono Bold Italic,LiberationMono-BoldItalic.ttf
Liberation Mono,Liberation Mono Bold,LiberationMono-Bold.ttf
Liberation Sans,Liberation Sans Italic,LiberationSans-Italic.ttf
Liberation Sans,Liberation Sans Bold,LiberationSans-Bold.ttf
Liberation Sans,Liberation Sans Bold Italic,LiberationSans-BoldItalic.ttf
Liberation Sans,Liberation Sans,LiberationSans-Regular.ttf
Liberation Serif,Liberation Serif Bold,LiberationSerif-Bold.ttf
Liberation Serif,Liberation Serif Italic,LiberationSerif-Italic.ttf
Liberation Serif,Liberation Serif Bold Italic,LiberationSerif-BoldItalic.ttf
Liberation Serif,Liberation Serif,LiberationSerif-Regular.ttf
Lohit Assamese,Lohit Assamese,Lohit-Assamese.ttf
Lohit Bengali,Lohit Bengali,Lohit-Bengali.ttf
Lohit Devanagari,Lohit Devanagari,Lohit-Devanagari.ttf
Lohit Gujarati,Lohit Gujarati,Lohit-Gujarati.ttf
Lohit Gurmukhi,Lohit Gurmukhi,Lohit-Gurmukhi.ttf
Lohit Kannada,Lohit Kannada,Lohit-Kannada.ttf
Lohit Odia,Lohit Odia,Lohit-Odia.ttf
Lohit Tamil,Lohit Tamil,Lohit-Tamil.ttf
Lohit Telugu,Lohit Telugu,Lohit-Telugu.ttf
Meera,Meera,Meera.ttf
Mingzat,Mingzat,Mingzat-R.ttf
Montserrat,Montserrat Bold Italic,Montserrat-BoldItalic.otf
Montserrat,Montserrat ExtraBold,Montserrat-ExtraBold.ttf
Montserrat,Montserrat SemiBold,Montserrat-SemiBold.ttf
Montserrat,Montserrat Italic,Montserrat-Italic.otf
Montserrat,Montserrat Medium Italic,Montserrat-MediumItalic.otf
Montserrat,Montserrat Medium,Montserrat-Medium.otf
Montserrat,Montserrat ExtraBold Italic,Montserrat-ExtraBoldItalic.otf
Montserrat,Montserrat ExtraLight,Montserrat-ExtraLight.otf
Montserrat,Montserrat Medium Italic,Montserrat-MediumItalic.ttf
Montserrat,Montserrat Light,Montserrat-Light.otf
Montserrat,Montserrat SemiBold Italic,Montserrat-SemiBoldItalic.ttf
Montserrat,Montserrat Bold,Montserrat-Bold.ttf
Montserrat,Montserrat Thin Italic,Montserrat-ThinItalic.otf
Montserrat,Montserrat SemiBold Italic,Montserrat-SemiBoldItalic.otf
Montserrat,Montserrat Italic,Montserrat-Italic.ttf
Montserrat,Montserrat Thin Italic,Montserrat-ThinItalic.ttf
Montserrat,Montserrat Light,Montserrat-Light.ttf
Montserrat,Montserrat Bold Italic,Montserrat-BoldItalic.ttf
Montserrat,Montserrat Black,Montserrat-Black.otf
Montserrat,Montserrat ExtraBold Italic,Montserrat-ExtraBoldItalic.ttf
Montserrat,Montserrat Black,Montserrat-Black.ttf
Montserrat,Montserrat ExtraLight Italic,Montserrat-ExtraLightItalic.ttf
Montserrat,Montserrat SemiBold,Montserrat-SemiBold.otf
Montserrat,Montserrat Regular,Montserrat-Regular.otf
Montserrat,Montserrat Light Italic,Montserrat-LightItalic.ttf
Montserrat,Montserrat Thin,Montserrat-Thin.otf
Montserrat,Montserrat ExtraBold,Montserrat-ExtraBold.otf
Montserrat,Montserrat Black Italic,Montserrat-BlackItalic.otf
Montserrat,Montserrat Light Italic,Montserrat-LightItalic.otf
Montserrat,Montserrat Thin,Montserrat-Thin.ttf
Montserrat,Montserrat Regular,Montserrat-Regular.ttf
Montserrat,Montserrat ExtraLight,Montserrat-ExtraLight.ttf
Montserrat,Montserrat Medium,Montserrat-Medium.ttf
Montserrat,Montserrat Black Italic,Montserrat-BlackItalic.ttf
Montserrat,Montserrat Bold,Montserrat-Bold.otf
Montserrat,Montserrat ExtraLight Italic,Montserrat-ExtraLightItalic.otf
Montserrat Alternates,Montserrat Alternates Light Italic,MontserratAlternates-LightItalic.otf
Montserrat Alternates,Montserrat Alternates Italic,MontserratAlternates-Italic.ttf
Montserrat Alternates,Montserrat Alternates Black Italic,MontserratAlternates-BlackItalic.ttf
Montserrat Alternates,Montserrat Alternates ExtraBold Italic,MontserratAlternates-ExtraBoldItalic.otf
Montserrat Alternates,Montserrat Alternates SemiBold Italic,MontserratAlternates-SemiBoldItalic.otf
Montserrat Alternates,Montserrat Alternates Bold,MontserratAlternates-Bold.ttf
Montserrat Alternates,Montserrat Alternates ExtraBold,MontserratAlternates-ExtraBold.otf
Montserrat Alternates,Montserrat Alternates ExtraBold Italic,MontserratAlternates-ExtraBoldItalic.ttf
Montserrat Alternates,Montserrat Alternates Medium,MontserratAlternates-Medium.otf
Montserrat Alternates,Montserrat Alternates Thin,MontserratAlternates-Thin.ttf
Montserrat Alternates,Montserrat Alternates Black,MontserratAlternates-Black.otf
Montserrat Alternates,Montserrat Alternates Bold Italic,MontserratAlternates-BoldItalic.ttf
Montserrat Alternates,Montserrat Alternates SemiBold Italic,MontserratAlternates-SemiBoldItalic.ttf
Montserrat Alternates,Montserrat Alternates Italic,MontserratAlternates-Italic.otf
Montserrat Alternates,Montserrat Alternates Thin,MontserratAlternates-Thin.otf
Montserrat Alternates,Montserrat Alternates Black Italic,MontserratAlternates-BlackItalic.otf
Montserrat Alternates,Montserrat Alternates Light,MontserratAlternates-Light.otf
Montserrat Alternates,Montserrat Alternates ExtraBold,MontserratAlternates-ExtraBold.ttf
Montserrat Alternates,Montserrat Alternates Thin Italic,MontserratAlternates-ThinItalic.ttf
Montserrat Alternates,Montserrat Alternates SemiBold,MontserratAlternates-SemiBold.otf
Montserrat Alternates,Montserrat Alternates Bold,MontserratAlternates-Bold.otf
Montserrat Alternates,Montserrat Alternates ExtraLight Italic,MontserratAlternates-ExtraLightItalic.otf
Montserrat Alternates,Montserrat Alternates Light Italic,MontserratAlternates-LightItalic.ttf
Montserrat Alternates,Montserrat Alternates Regular,MontserratAlternates-Regular.otf
Montserrat Alternates,Montserrat Alternates ExtraLight Italic,MontserratAlternates-ExtraLightItalic.ttf
Montserrat Alternates,Montserrat Alternates Medium Italic,MontserratAlternates-MediumItalic.ttf
Montserrat Alternates,Montserrat Alternates SemiBold,MontserratAlternates-SemiBold.ttf
Montserrat Alternates,Montserrat Alternates Black,MontserratAlternates-Black.ttf
Montserrat Alternates,Montserrat Alternates ExtraLight,MontserratAlternates-ExtraLight.ttf
Montserrat Alternates,Montserrat Alternates Regular,MontserratAlternates-Regular.ttf
Montserrat Alternates,Montserrat Alternates Medium Italic,MontserratAlternates-MediumItalic.otf
Montserrat Alternates,Montserrat Alternates Light,MontserratAlternates-Light.ttf
Montserrat Alternates,Montserrat Alternates Medium,MontserratAlternates-Medium.ttf
Montserrat Alternates,Montserrat Alternates ExtraLight,MontserratAlternates-ExtraLight.otf
Montserrat Alternates,Montserrat Alternates Bold Italic,MontserratAlternates-BoldItalic.otf
Montserrat Alternates,Montserrat Alternates Thin Italic,MontserratAlternates-ThinItalic.otf
NanumGothic,NanumGothic,NanumGothic.ttf
NanumGothic,NanumGothicBold,NanumGothicBold.ttf
NanumGothic Light,NanumGothic Light,NanumGothicLight.ttf
NanumGothicExtraBold,NanumGothicExtraBold,NanumGothicExtraBold.ttf
Nimbus Mono PS,Nimbus Mono PS,NimbusMonoPS-BoldItalic.t1
Nimbus Mono PS,NimbusMonoPS-Bold,NimbusMonoPS-Bold.otf
Nimbus Mono PS,NimbusMonoPS-Regular,NimbusMonoPS-Regular.otf
Nimbus Mono PS,Nimbus Mono PS,NimbusMonoPS-Bold.t1
Nimbus Mono PS,NimbusMonoPS-Italic,NimbusMonoPS-Italic.otf
Nimbus Mono PS,Nimbus Mono PS,NimbusMonoPS-Regular.t1
Nimbus Mono PS,Nimbus Mono PS,NimbusMonoPS-Italic.t1
Nimbus Mono PS,NimbusMonoPS-BoldItalic,NimbusMonoPS-BoldItalic.otf
Nimbus Roman,Nimbus Roman,NimbusRoman-Italic.t1
Nimbus Roman,Nimbus Roman,NimbusRoman-Bold.t1
Nimbus Roman,NimbusRoman-Regular,NimbusRoman-Regular.otf
Nimbus Roman,NimbusRoman-BoldItalic,NimbusRoman-BoldItalic.otf
Nimbus Roman,Nimbus Roman,NimbusRoman-BoldItalic.t1
Nimbus Roman,NimbusRoman-Bold,NimbusRoman-Bold.otf
Nimbus Roman,NimbusRoman-Italic,NimbusRoman-Italic.otf
Nimbus Roman,Nimbus Roman,NimbusRoman-Regular.t1
Nimbus Sans,Nimbus Sans,NimbusSans-BoldItalic.t1
Nimbus Sans,NimbusSans-BoldItalic,NimbusSans-BoldItalic.otf
Nimbus Sans,Nimbus Sans,NimbusSans-Regular.t1
Nimbus Sans,NimbusSans-Regular,NimbusSans-Regular.otf
Nimbus Sans,Nimbus Sans,NimbusSans-Bold.t1
Nimbus Sans,NimbusSans-Italic,NimbusSans-Italic.otf
Nimbus Sans,NimbusSans-Bold,NimbusSans-Bold.otf
Nimbus Sans,Nimbus Sans,NimbusSans-Italic.t1
Nimbus Sans Narrow,Nimbus Sans Narrow,NimbusSansNarrow-BoldOblique.t1
Nimbus Sans Narrow,NimbusSansNarrow-Oblique,NimbusSansNarrow-Oblique.otf
Nimbus Sans Narrow,Nimbus Sans Narrow,NimbusSansNarrow-Bold.t1
Nimbus Sans Narrow,Nimbus Sans Narrow,NimbusSansNarrow-Oblique.t1
Nimbus Sans Narrow,NimbusSansNarrow-BoldOblique,NimbusSansNarrow-BoldOblique.otf
Nimbus Sans Narrow,NimbusSansNarrow-Regular,NimbusSansNarrow-Regular.otf
Nimbus Sans Narrow,Nimbus Sans Narrow,NimbusSansNarrow-Regular.t1
Nimbus Sans Narrow,NimbusSansNarrow-Bold,NimbusSansNarrow-Bold.otf
Noto Color Emoji,Noto Color Emoji,NotoColorEmoji.ttf
Noto Emoji,Noto Emoji,NotoEmoji-Regular.ttf
Noto Sans Lisu,Noto Sans Lisu,NotoSansLisu-Regular.ttf
Noto Sans Mandaic,Noto Sans Mandaic,NotoSansMandaic-Regular.ttf
Noto Sans Meetei Mayek,Noto Sans Meetei Mayek,NotoSansMeeteiMayek-Regular.ttf
Noto Sans Sinhala,Noto Sans Sinhala Bold,NotoSansSinhala-Bold.ttf
Noto Sans Sinhala,Noto Sans Sinhala,NotoSansSinhala-Regular.ttf
Noto Sans Tagalog,Noto Sans Tagalog,NotoSansTagalog-Regular.ttf
Noto Sans Tai Tham,Noto Sans Tai Tham,NotoSansTaiTham-Regular.ttf
Noto Sans Tai Viet,Noto Sans Tai Viet,NotoSansTaiViet-Regular.ttf
Nuosu SIL,Nuosu SIL,NuosuSIL.ttf
OpenSymbol,OpenSymbol,opens___.ttf
P052,P052-Italic,P052-Italic.otf
P052,P052,P052-BoldItalic.t1
P052,P052,P052-Italic.t1
P052,P052,P052-Roman.t1
P052,P052-Bold,P052-Bold.otf
P052,P052-Roman,P052-Roman.otf
P052,P052,P052-Bold.t1
P052,P052-BoldItalic,P052-BoldItalic.otf
PT Sans,PT Sans Italic,PTS56F.ttf
PT Sans,PT Sans,PTS55F.ttf
PT Sans,PT Sans Bold,PTS75F.ttf
PT Sans,PT Sans Bold Italic,PTS76F.ttf
PT Sans Narrow,PT Sans Narrow,PTN57F.ttf
PT Sans Narrow,PT Sans Narrow Bold,PTN77F.ttf
Padauk,Padauk Bold,Padauk-Bold.ttf
Padauk,Padauk,Padauk-Regular.ttf
PakType Naskh Basic,PakType Naskh Basic,PakTypeNaskhBasic.ttf
STIX,STIX-Bold,STIX-Bold.otf
STIX,STIX-BoldItalic,STIX-BoldItalic.otf
STIX,STIX-Italic,STIX-Italic.otf
STIX,STIX-Regular,STIX-Regular.otf
Source Han Sans CN,Source Han Sans CN Regular,SourceHanSansCN-Regular.otf
Source Han Sans CN Bold,Source Han Sans CN Bold,SourceHanSansCN-Bold.otf
Source Han Sans CN ExtraLight,Source Han Sans CN ExtraLight,SourceHanSansCN-ExtraLight.otf
Source Han Sans CN Heavy,Source Han Sans CN Heavy,SourceHanSansCN-Heavy.otf
Source Han Sans CN Light,Source Han Sans CN Light,SourceHanSansCN-Light.otf
Source Han Sans CN Medium,Source Han Sans CN Medium,SourceHanSansCN-Medium.otf
Source Han Sans CN Normal,Source Han Sans CN Normal,SourceHanSansCN-Normal.otf
Source Han Sans TW,Source Han Sans TW Heavy,SourceHanSansTW-Heavy.otf
Source Han Sans TW,Source Han Sans TW Regular,SourceHanSansTW-Regular.otf
Source Han Sans TW,Source Han Sans TW Bold,SourceHanSansTW-Bold.otf
Source Han Sans TW,Source Han Sans TW Normal,SourceHanSansTW-Normal.otf
Source Han Sans TW,Source Han Sans TW Medium,SourceHanSansTW-Medium.otf
Source Han Sans TW,Source Han Sans TW ExtraLight,SourceHanSansTW-ExtraLight.otf
Source Han Sans TW,Source Han Sans TW Light,SourceHanSansTW-Light.otf
Source Han Serif CN,Source Han Serif CN,SourceHanSerifCN-Regular.otf
Source Han Serif CN,Source Han Serif CN Heavy,SourceHanSerifCN-Heavy.otf
Source Han Serif CN,Source Han Serif CN ExtraLight,SourceHanSerifCN-ExtraLight.otf
Source Han Serif CN,Source Han Serif CN SemiBold,SourceHanSerifCN-SemiBold.otf
Source Han Serif CN,Source Han Serif CN Bold,SourceHanSerifCN-Bold.otf
Source Han Serif CN,Source Han Serif CN Medium,SourceHanSerifCN-Medium.otf
Source Han Serif CN,Source Han Serif CN Light,SourceHanSerifCN-Light.otf
Source Han Serif TW,思源宋體 TW Medium,SourceHanSerifTW-Medium.otf
Source Han Serif TW,Source Han Serif TW Bold,SourceHanSerifTW-Bold.otf
Source Han Serif TW,Source Han Serif TW,SourceHanSerifTW-Regular.otf
Source Han Serif TW,思源宋體 TW Light,SourceHanSerifTW-Light.otf
Source Han Serif TW,思源宋體 TW SemiBold,SourceHanSerifTW-SemiBold.otf
Source Han Serif TW,思源宋體 TW Heavy,SourceHanSerifTW-Heavy.otf
Source Han Serif TW,思源宋體 TW ExtraLight,SourceHanSerifTW-ExtraLight.otf
Standard Symbols PS,Standard Symbols PS,StandardSymbolsPS.t1
Symbola,Symbola,Symbola.ttf
URW Bookman,URWBookman-LightItalic,URWBookman-LightItalic.otf
URW Bookman,URW Bookman,URWBookman-Light.t1
URW Bookman,URWBookman-Light,URWBookman-Light.otf
URW Bookman,URWBookman-DemiItalic,URWBookman-DemiItalic.otf
URW Bookman,URW Bookman,URWBookman-LightItalic.t1
URW Bookman,URW Bookman,URWBookman-DemiItalic.t1
URW Bookman,URW Bookman,URWBookman-Demi.t1
URW Bookman,URWBookman-Demi,URWBookman-Demi.otf
URW Gothic,URWGothic-Demi,URWGothic-Demi.otf
URW Gothic,URWGothic-BookOblique,URWGothic-BookOblique.otf
URW Gothic,URW Gothic,URWGothic-Book.t1
URW Gothic,URW Gothic,URWGothic-Demi.t1
URW Gothic,URW Gothic,URWGothic-DemiOblique.t1
URW Gothic,URWGothic-DemiOblique,URWGothic-DemiOblique.otf
URW Gothic,URW Gothic,URWGothic-BookOblique.t1
URW Gothic,URWGothic-Book,URWGothic-Book.otf
VL Gothic,VL Gothic Regular,VL-Gothic-Regular.ttf
Waree,Waree Bold Oblique,Waree-BoldOblique.ttf
Waree,Waree Oblique,Waree-Oblique.ttf
Waree,Waree,Waree.ttf
Waree,Waree Bold,Waree-Bold.ttf
Z003,Z003,Z003-MediumItalic.t1
Z003,Z003-MediumItalic,Z003-MediumItalic.otf
